nivel,regiao,uf,uf_nome,co_ibge6,municipio,populacao_2025,registros,estabelecimentos_cnes,municipios_com_registro,leitos_existentes,leitos_sus,uti_total_exist,uti_total_sus,pct_leitos_sus,pct_uti_sus,leitos_existentes_por_10k_hab,leitos_sus_por_10k_hab,uti_existente_por_100k_hab,uti_sus_por_100k_hab,gap_estimado_leitos_sus_para_media_nacional,gap_estimado_uti_sus_para_media_nacional
uf,SUDESTE,MG,Minas Gerais,,,21393441,665,665,406,50254,33808,6219,3669,67.2742468261233,58.99662325132658,23.49037726095582,15.80297437892296,29.069657377698146,17.150116243572036,1629.037363472284,0.0
uf,CENTRO-OESTE,MS,Mato Grosso do Sul,,,2924631,122,122,70,6686,4543,800,461,67.94795094226743,57.62500000000001,22.86100366165851,15.533583552933687,27.353878147362863,15.762672282417851,301.4875240672738,0.0
uf,CENTRO-OESTE,MT,Mato Grosso,,,3893659,181,181,93,9308,6807,1304,484,73.13064030941125,37.11656441717792,23.90553461409949,17.4822705326789,33.490349308966195,12.430467074800335,0.0,100.21020837791174
uf,NORTE,PA,Pará,,,8711196,282,282,130,17417,12857,1688,1005,73.81868289602113,59.53791469194313,19.993810264399976,14.75916739790954,19.377362189990905,11.536877370225627,1572.608501621142,302.0404034818743
uf,NORDESTE,PB,Paraíba,,,4164468,193,193,101,10898,8189,1087,624,75.14222793173059,57.405703771849126,26.169008862596616,19.66397628700713,26.101773383779154,14.98390670789162,0.0,0.8427810609879449
uf,NORDESTE,PE,Pernambuco,,,9562007,392,392,182,25344,17461,2898,1400,68.89599116161617,48.309178743961354,26.504895886397073,18.26081072728769,30.307444870098927,14.641277715023634,0.0,34.69731221482179
uf,NORDESTE,PI,Piauí,,,3384547,194,194,122,7968,6571,501,334,82.46736947791165,66.66666666666666,23.542293843164238,19.4147104472179,14.802571806507638,9.868381204338425,0.0,173.822310103385
uf,SUL,PR,Paraná,,,11890517,446,446,237,30764,21670,3709,2311,70.43947471070082,62.307899703424106,25.872718570605468,18.224607054512433,31.19292458015072,19.435656161965035,0.0,0.0
uf,SUDESTE,RJ,Rio de Janeiro,,,17223547,493,493,86,43874,24166,8023,2402,55.08045767424898,29.93892558893182,25.473266337067503,14.030791683037181,46.58157811512344,13.946024010036957,4363.841392533391,182.24581656399698
uf,NORDESTE,RN,Rio Grande do Norte,,,3455236,194,194,135,8283,6728,876,467,81.22660871664856,53.31050228310502,23.97231332389452,19.471897143928807,25.35282684019268,13.515719331472583,0.0,51.4285895490237
uf,NORTE,RO,Rondônia,,,1751950,112,112,51,5815,4606,662,300,79.20894239036973,45.31722054380665,33.191586517880076,26.29070464339736,37.786466508747395,17.12377636348069,0.0,0.0
uf,NORTE,RR,Roraima,,,738772,20,20,12,1680,1483,104,90,88.27380952380952,86.53846153846155,22.74043954020997,20.073852284602015,14.077414953463316,12.182378325112484,0.0,20.846415688627737
uf,SUL,RS,Rio Grande do Sul,,,11233263,331,331,236,33917,23207,3081,1900,68.42291476250848,61.668289516390786,30.19336411868929,20.65917979486459,27.427471430162367,16.914052488577894,0.0,0.0
uf,SUL,SC,Santa Catarina,,,8187029,246,246,156,18320,13324,1916,1334,72.7292576419214,69.6242171189979,22.37685978637672,16.274524006205425,23.402873008022812,16.29406711518916,237.35521017077724,0.0
uf,NORDESTE,SE,Sergipe,,,2299425,56,56,23,4351,3189,562,290,73.2934957481039,51.60142348754449,18.92212183480653,13.868684562444958,24.44089283190363,12.611848614327496,619.8687855077758,55.009041212746055
uf,SUDESTE,SP,São Paulo,,,46081801,1028,1028,352,109848,61991,15526,7325,56.43343529240404,47.17892567306453,23.837609992717084,13.452382210495635,33.69225955383124,15.895646092478025,14340.92359345532,0.0
uf,NORTE,TO,Tocantins,,,1586859,82,82,48,4194,3147,533,202,75.03576537911302,37.89868667917448,26.429569356823762,19.83162965329623,33.58836544393673,12.729549380253696,0.0,36.094611535413
