nivel,regiao,uf,uf_nome,co_ibge6,municipio,populacao_2025,registros,estabelecimentos_cnes,municipios_com_registro,leitos_existentes,leitos_sus,uti_total_exist,uti_total_sus,pct_leitos_sus,pct_uti_sus,leitos_existentes_por_10k_hab,leitos_sus_por_10k_hab,uti_existente_por_100k_hab,uti_sus_por_100k_hab,gap_estimado_leitos_sus_para_media_nacional,gap_estimado_uti_sus_para_media_nacional,sinais_de_oportunidade,score_heuristico_oportunidade
municipio,NORDESTE,PE,Pernambuco,260790,Jaboatão dos Guararapes,684293,7,7,1,619,536,121,110,86.59127625201938,90.9090909090909,9.04583270616534,7.8329019878911526,17.68248396520204,16.074985422910945,597.4930462361121,0.0,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,SUDESTE,MG,Minas Gerais,311860,Contagem,651718,5,5,1,703,496,120,81,70.5547652916074,67.5,10.7868740774384,7.610653687637905,18.412871824930413,12.428688481828031,583.5343823580054,16.784708055748037,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,SUDESTE,SP,São Paulo,352940,Mauá,429014,4,4,1,543,249,100,57,45.85635359116022,56.99999999999999,12.656929610688696,5.804006396061666,23.30926263478581,13.286279701827912,461.63767382968916,7.369878907485588,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,SUDESTE,RJ,Rio de Janeiro,330170,Duque de Caxias,866225,17,17,1,1596,1023,378,49,64.09774436090225,12.962962962962962,18.42477416375653,11.809864642558228,43.63762301942336,5.65672890992525,411.8532192728498,80.96964750949084,uti_sus_por_100k_abaixo_de_50pct_media_nacional,3
municipio,SUDESTE,SP,São Paulo,351060,Carapicuíba,398236,3,3,1,299,258,53,39,86.2876254180602,73.58490566037736,7.508110768489036,6.478570495886861,13.30869132875983,9.793187958898743,401.65563985147355,20.751903426464942,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,NORDESTE,PE,Pernambuco,260960,Olinda,364717,4,4,1,558,249,161,40,44.623655913978496,24.84472049689441,15.299533610991535,6.827211235012352,44.14381561594332,10.967407606445546,355.1332928206136,14.72266435477961,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,SUDESTE,SP,São Paulo,354100,Praia Grande,368539,3,3,1,471,257,95,50,54.56475583864119,52.63157894736842,12.780194226391236,6.973481775334496,25.777461815438798,13.56708516602042,353.46422185644246,5.296122743513809,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,SUDESTE,SP,São Paulo,352310,Itaquaquecetuba,382983,2,2,1,282,282,30,30,100.0,100.0,7.363251110362601,7.363251110362601,7.833245862087874,7.833245862087874,352.38989924877933,27.463321321974462,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,NORDESTE,PE,Pernambuco,261070,Paulista,365144,6,6,1,397,254,30,30,63.97984886649874,100.0,10.872422934513507,6.956159761628289,8.215936726332625,8.215936726332625,350.84059441619155,24.786732050224273,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,SUDESTE,SP,São Paulo,351300,Cotia,289493,5,5,1,273,165,26,26,60.43956043956044,100.0,9.430279834054708,5.699619679923176,8.981218889575914,8.981218889575914,314.5289480296172,17.43594697274384,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
