co_ibge6,municipio,uf,regiao,populacao_2025,ubs,ubs_por_10k_hab,pct_populacao_vinculada_aps,media_indicadores_previne,leitos_sus,leitos_sus_por_10k_hab,uti_total_sus,uti_sus_por_100k_hab,gap_estimado_leitos_sus_para_media_nacional,gap_estimado_uti_sus_para_media_nacional,sinais_aps,sinais_hospitalares,sinais_integrados,oportunidades_geradas,score_integrado
314930,Pedro Leopoldo,MG,SUDESTE,65174,22,3.3755792187068465,27.06978893853027,24.0,69,10.587043913216927,0,0.0,38.95708241263957,9.778800896745713,vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;regulacao_integrada_aps_e_retaguarda,16
314000,Mariana,MG,SUDESTE,64506,26,4.030632809351069,32.13650129570077,29.666666666666668,57,8.83638731280811,0,0.0,49.85057780878462,9.678573213942355,vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;regulacao_integrada_aps_e_retaguarda,16
150506,Novo Repartimento,PA,NORTE,63796,1,0.1567496394758292,53.569972080183206,37.166666666666664,56,8.777979810646436,0,0.0,49.67450255618429,9.572043790603455,ubs_por_10k_abaixo_de_50pct_media_nacional;mais_de_10k_habitantes_por_ubs;vinculo_aps_entre_50_70pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos,regulacao_integrada_aps_e_retaguarda,16
313190,Itabirito,MG,SUDESTE,56369,11,1.9514272028952082,32.49279667841867,39.5,47,8.337916230552255,0,0.0,46.3720928363777,8.457686005902033,vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;regulacao_integrada_aps_e_retaguarda,16
353780,Piedade,SP,SUDESTE,54266,9,1.6584970331330853,25.13228976528938,34.0,60,11.056646887553901,0,0.0,29.88859106705587,8.14214885480104,vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;regulacao_integrada_aps_e_retaguarda,16
150820,Vigia,PA,NORTE,54062,14,2.589619325959084,48.751068654053455,30.166666666666668,46,8.508749213865562,0,0.0,43.550676487435496,8.11154040077127,vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;regulacao_integrada_aps_e_retaguarda,16
313840,Leopoldina,MG,SUDESTE,52739,17,3.2234209977436055,34.72369819341126,32.166666666666664,61,11.566392991903525,6,11.376779992036255,26.35920105195628,1.9130355739017424,vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;regulacao_integrada_aps_e_retaguarda,16
430440,Canela,RS,SUL,50715,8,1.577442571231391,26.469484124632007,39.0,53,10.450557034407966,0,0.0,31.00655836003646,7.609351696665217,vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;regulacao_integrada_aps_e_retaguarda,16
313630,João Pinheiro,MG,SUDESTE,48725,17,3.4889687018984095,40.11167889227726,38.0,59,12.108773730118008,9,18.471010774756287,21.710234764720038,0.0,vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;regulacao_integrada_aps_e_retaguarda,16
330130,Casimiro de Abreu,RJ,SUDESTE,48636,13,2.6729171806892014,43.553734324485724,12.166666666666666,55,11.308495764454312,0,0.0,25.562811247140566,7.297415540155959,vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;regulacao_integrada_aps_e_retaguarda,16
521800,Porangatu,GO,CENTRO-OESTE,45512,14,3.0761117946915095,33.90088105726872,38.666666666666664,52,11.425558094568466,0,0.0,23.38808013569909,6.8286860774648,vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;regulacao_integrada_aps_e_retaguarda,16
354530,Salto de Pirapora,SP,SUDESTE,45262,11,2.4302947284697978,36.47702600912757,31.333333333333332,47,10.383986567098228,0,0.0,27.973969131262354,6.791175717134202,vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;regulacao_integrada_aps_e_retaguarda,16
316210,São Gotardo,MG,SUDESTE,43851,15,3.420674557022645,34.18919854995497,31.333333333333332,49,11.17420355294064,0,0.0,23.636726622221413,6.5794672434283035,vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;regulacao_integrada_aps_e_retaguarda,16
